meanR,meanG,meanB,stdR,stdG,stdB,skewR,skewG,skewB,kurtR,kurtG,kurtB,kelas
88.234404296875,79.065537109375,56.67537760416667,82.84681521310118,59.204930927781156,26.73767978040927,1.1865410031057089,0.8812923197502541,-1.1304106283586892,-0.06689387440278471,-0.11219694096539756,0.3947706125278687,ripe
103.17200846354167,98.449404296875,76.52554036458334,71.94286275218059,54.601017081890596,24.827017793797285,1.160011112301105,1.0652523385138577,-0.03441683355431001,-0.12053816904356607,0.054275364268411064,0.11331046207854234,ripe
134.98057291666666,113.18258138020833,68.38817708333333,91.29667171270593,60.31832377412199,12.175743616489092,0.39571890488490635,0.4577816584263824,-0.11539380294340094,-1.777555139397976,-1.6502213003865294,4.407103279091646,ripe
96.751689453125,88.45214518229167,66.51314778645833,76.16528532656802,50.47728373692555,13.541418775306054,1.408944282750354,1.4235849120993773,-0.14439351073252066,0.14407055833141902,0.32997448582974,2.068364796669818,ripe
162.71171549479166,161.34263020833333,147.63987630208334,45.77869426298947,32.927391026328735,12.305796545958824,1.2797970872898285,1.266559376588827,-0.8001677303111682,-0.05295933074588044,0.07817293214281662,2.43970406205045,ripe
104.29987955729166,93.36939127604167,66.90577473958334,80.70223652696525,53.3683034436638,12.886195142327031,1.1643170519788961,1.199235399394246,-0.2536377541954201,-0.5231816647253984,-0.33415246838268287,2.180712559586353,ripe
91.368720703125,80.98241536458333,54.905462239583336,86.80695280973059,66.09416954673283,39.68827420645619,0.9361164344793803,0.6363838205230575,0.32400874652312134,-0.499029695098244,-0.6751044717137442,-0.5958786318037124,ripe
112.759560546875,105.68798177083333,78.49447916666666,72.96537954877988,58.78827599636401,38.401704056829516,0.8118413463770205,0.6925238371557755,0.3989116618279905,-0.6422074729188942,-0.5089614253152952,-0.21152705076382716,ripe
148.97627278645834,121.895087890625,61.75870442708333,95.00552355194256,67.9687941998809,27.19542399636976,0.030390184248231623,0.0908570678331317,0.161469478891077,-1.8320192115364777,-1.6826768740374727,-0.8568154374859396,ripe
102.48087565104167,91.847890625,65.05139973958333,79.59768140002119,58.03229559036965,34.7490594146401,1.004484643930895,0.763610868435836,0.3824478553205401,-0.40662372284246695,-0.45310368982429816,-0.4109740291251889,ripe
106.51301106770833,95.66397135416666,68.24620768229167,77.31634392380026,55.17467646747778,32.62542689505338,1.0609449016454615,0.906466477024912,0.6088406719475103,-0.42533141130171925,-0.4700336191312915,-0.4152151807323712,ripe
113.29306315104166,103.50871419270834,76.51301432291666,74.47310591928837,53.96498414626464,33.31014199600575,1.0184550037547426,0.8523022033317793,0.5296390589899765,-0.481564501834296,-0.5400012647341677,-0.4563104236011686,ripe
121.80656575520834,104.083896484375,63.22227213541667,87.85558237629137,61.81802940005408,27.032080118157463,0.6331558539050237,0.6453067808558465,0.32766696773367254,-1.3707272932723327,-1.164278313037156,-0.6205394312971015,ripe
142.00324544270833,119.333876953125,75.95207356770834,89.35156754601815,59.429885658507686,20.31744389988062,0.347270164606546,0.38951504766953793,-0.3429025094627459,-1.8097304164787822,-1.6060847569168586,-0.07780383674477198,ripe
102.838955078125,91.96226888020833,67.55417317708333,76.59601102556144,51.48295814497639,24.635211665592635,1.1845234878615283,1.1472835326834614,0.3830656718601209,-0.31319787592036885,-0.08825899474811338,-0.2825408218569825,ripe
